TIMESTAMP,FARM_LOCATION,INSPECTION_AREA,VIOLATION_TYPE,IMAGE_URL,REPLY,COMMENTS,DATATIME,ID,EVENT_TIME_UTC,CREATION_TZ
2025-10-20 12:53:00,Hillside Agro,Sow Barn,Poor hygiene,https://example.com/images/violations/img_001.jpg,Acknowledged,Water troughs need cleaning; algae observed.,2025-10-20 12:56:00,77e9d88c-03eb-43fc-9559-3df45c76871d,2025-10-20 12:53:00+00:00,Asia/Singapore
2025-10-20 02:13:00,Sunrise Holdings,Medication Room,Biosecurity breach,https://example.com/images/violations/img_002.jpg,Pending,Water troughs need cleaning; algae observed.,2025-10-20 04:07:00,cd6ab516-3c50-4203-9032-df246df29acb,2025-10-20 02:13:00+00:00,Asia/Singapore
2025-10-25 00:46:00,Green Valley Farm,Sow Barn,Ventilation failure,https://example.com/images/violations/img_003.jpg,Resolved,Overcrowding in pens 4-6 observed during inspection.,2025-10-25 01:50:00,b49fc332-3576-4393-b2d1-1a7094ac5182,2025-10-25 00:46:00+00:00,Asia/Singapore
2025-10-22 13:23:00,Green Valley Farm,Grower House,Unsecured medicine,https://example.com/images/violations/img_004.jpg,Investigating,Broken fencing at north perimeter; repair required.,2025-10-22 13:58:00,48a39a7d-bbaf-4c8a-b5de-28f0b1c959e3,2025-10-22 13:23:00+00:00,Asia/Singapore
2025-10-25 16:47:00,Eastpoint Swine,Nursery,Feeding issue,https://example.com/images/violations/img_005.jpg,Resolved,Water troughs need cleaning; algae observed.,2025-10-25 18:24:00,7af1c1d0-4cbd-4639-a5ae-126aba2b8e5f,2025-10-25 16:47:00+00:00,Asia/Singapore
2025-10-23 12:06:00,Hillside Agro,Feed Store,Fire hazard,https://example.com/images/violations/img_006.jpg,Escalated,Water troughs need cleaning; algae observed.,2025-10-23 12:50:00,daeca764-da19-4897-9bce-68c112994500,2025-10-23 12:06:00+00:00,Asia/Singapore
2025-10-17 11:36:00,Hillside Agro,Manure Pit,Lighting issue,https://example.com/images/violations/img_007.jpg,Acknowledged,Water troughs need cleaning; algae observed.,2025-10-17 11:46:00,9a2f8dab-8fb5-4095-b918-d757940ccc88,2025-10-17 11:36:00+00:00,Asia/Singapore
2025-10-26 20:18:00,Hillside Agro,Nursery,Poor hygiene,https://example.com/images/violations/img_008.jpg,Pending,"Lighting fixtures damaged, potential hazard.",2025-10-26 20:47:00,25bf8a53-c6ea-4938-9ea4-d689cbfba8fd,2025-10-26 20:18:00+00:00,Asia/Singapore
2025-10-24 08:31:00,Eastpoint Swine,Grower House,Broken fencing,https://example.com/images/violations/img_009.jpg,Investigating,Overcrowding in pens 4-6 observed during inspection.,2025-10-24 09:52:00,e034fb50-3faa-4f2b-abd7-ceacba18cb8f,2025-10-24 08:31:00+00:00,Asia/Singapore
2025-10-20 04:43:00,Sunrise Holdings,Grower House,Ventilation failure,https://example.com/images/violations/img_010.jpg,Acknowledged,Staff left medication unsecured in cupboard.,2025-10-20 06:12:00,01dd701b-b6e4-4dcb-ad5f-1965d165f937,2025-10-20 04:43:00+00:00,Asia/Singapore
2025-10-22 09:36:00,Riverbend Farm,Manure Pit,Biosecurity breach,https://example.com/images/violations/img_011.jpg,Acknowledged,Feed contamination suspected near storage.,2025-10-22 10:10:00,248eee0f-1f2d-496d-a2af-c788210b062a,2025-10-22 09:36:00+00:00,Asia/Singapore
2025-10-18 17:40:00,Hillside Agro,Nursery,Poor hygiene,https://example.com/images/violations/img_012.jpg,Escalated,Ventilation fan malfunctioning in grower house.,2025-10-18 18:31:00,f5a264b4-85e5-4b4b-9318-ae5ae8090934,2025-10-18 17:40:00+00:00,Asia/Singapore
2025-10-25 01:19:00,JAPFA Central,Quarantine Area,Water contamination,https://example.com/images/violations/img_013.jpg,Investigating,Staff left medication unsecured in cupboard.,2025-10-25 02:22:00,5caae15a-8da7-4844-ad18-a6937ceaf6f5,2025-10-25 01:19:00+00:00,Asia/Singapore
2025-10-24 16:13:00,Hillside Agro,Medication Room,Lighting issue,https://example.com/images/violations/img_014.jpg,Resolved,Ventilation fan malfunctioning in grower house.,2025-10-24 17:24:00,06574f62-9bff-4a28-a17e-b77db82dc24d,2025-10-24 16:13:00+00:00,Asia/Singapore
2025-10-24 23:52:00,Northfield Farm,Nursery,Biosecurity breach,https://example.com/images/violations/img_015.jpg,Pending,Staff left medication unsecured in cupboard.,2025-10-25 00:57:00,383ade1b-1e63-4617-904e-901106836b68,2025-10-24 23:52:00+00:00,Asia/Singapore
2025-10-20 15:50:00,JAPFA Central,Nursery,Unsecured medicine,https://example.com/images/violations/img_016.jpg,Resolved,Manure buildup near loading bay; hygiene concern.,2025-10-20 17:31:00,1dcf9577-6175-43e9-836c-d7bab1a4ea8a,2025-10-20 15:50:00+00:00,Asia/Singapore
2025-10-21 16:44:00,Green Valley Farm,Nursery,Ventilation failure,https://example.com/images/violations/img_017.jpg,Investigating,Ventilation fan malfunctioning in grower house.,2025-10-21 17:54:00,7145969d-882d-4e3b-8664-479d866a24ee,2025-10-21 16:44:00+00:00,Asia/Singapore
2025-10-26 03:42:00,Meadowlane Ltd,Quarantine Area,Biosecurity breach,https://example.com/images/violations/img_018.jpg,Investigating,,2025-10-26 04:37:00,eccb2c67-7962-4fc2-9571-d11a49eca750,2025-10-26 03:42:00+00:00,Asia/Singapore
2025-10-19 04:49:00,Sunrise Holdings,Loading Bay,Ventilation failure,https://example.com/images/violations/img_019.jpg,Escalated,Overcrowding in pens 4-6 observed during inspection.,2025-10-19 05:53:00,8e48427d-1baf-4158-b522-ba3d31b235aa,2025-10-19 04:49:00+00:00,Asia/Singapore
2025-10-25 16:37:00,Meadowlane Ltd,Feed Store,Lighting issue,https://example.com/images/violations/img_020.jpg,Investigating,Manure buildup near loading bay; hygiene concern.,2025-10-25 18:14:00,4bf6fe44-4fbc-467f-8b8e-843a7f3c12f0,2025-10-25 16:37:00+00:00,Asia/Singapore
